IMAGE ID,time stamp,likes,no.of comments,post_Metadata,post link
2002_13,13-06-2022,196851,705,@Halfsaree   @pinkgreenhalfsaree,https://www.instagram.com/p/CevCsk2Iqpb/
2004_10,29-12-2021,445411,1700,@Hand Block Printed Cotton Lehenga in Pink,https://www.instagram.com/p/CYEWHhsJcCG/?hl=en
2002_14,24-06-2022,91534,794,@Karu Pirzada,https://www.instagram.com/p/CfML_Eso2uW/
2004_11,28-12-2021,452413,1669,@Embroidered Net Pakistani Suit in Grey,https://www.instagram.com/p/CYBCu73JFI-/?hl=en
2005_10,26-02-2020,2490,20,pre-stitched saree,https://www.instagram.com/p/B9BJfYHhvfY/?utm_source=ig_web_copy_link
2006_1,24-02-2022,3696402,976,@golden boot  @puma,https://www.instagram.com/p/CaTy2GXtUGS/
2004_12,23-12-2021,443316,1914,@Multi Color Lehenga Choli,https://www.instagram.com/p/CX1MOebJyt3/?hl=en
1060_01,24-07-2022,7309,59,"#lehengas dupattas 
#weddinglehenga",https://www.instagram.com/reel/CgWgi2fpSNe/?utm_source=ig_web_copy_link
1060_02,21-07-2022,6075,92,"#white toned single bead earrings and #white bead choker in necklace 
#white princess dress for women
 #indianwear #indianprincess  #aestheticfashion",https://www.instagram.com/reel/CgO_uUAqsRe/?utm_source=ig_web_copy_link
2004_13,23-10-2021,591497,3003,@Khyati Kurties Women Solid Anarkali Kurta,https://www.instagram.com/p/CVX8sxTp5G4/?hl=en
1060_03,19-07-2022,2766,38,"Top 
Blazer 
Pants 
Heels 
Bag 
Earrings ",https://www.instagram.com/reel/CgJoI0AJoTd/?utm_source=ig_web_copy_link
1060_04,16-07-2022,12530,165,"#Pink corset + skirt 
#Pant suit + Jewel heels
#Lilac strappy sandals
#Jewel belt + earrings 
#White dress",https://www.instagram.com/reel/CgD3TrNJ_sg/?utm_source=ig_web_copy_link
2009_1,06-02-2021,336546,999,@Full Sleeve Solid Men Casual Jacket,https://www.instagram.com/p/CK8ZvZeDTxs/
2004_14,20-10-2021,621369,3489,@Ckm Women Printed Ethnic Dress Kurta,https://www.instagram.com/p/CVQCV6XpAld/?hl=en
2004_15,10-10-2021,508708,1967,@Dot Kurta Set With Chanderi Dupatta,https://www.instagram.com/p/CU176MfJm9g/?hl=en
2005_11,12-09-2020,1001,137,"Sale Gets Even Bigger!!

In a world full of trends remain a classic with the beautiful and designer collection of ethnic wear at Aliyana.

We welcome you to a safe shopping experience. All safety protocols are being followed.

Video call us on the given No. for a Virtual Shopping Experience: 72209 87654

#SaleGotBigger #RemainAClassic #Fashionista #LatestCollection #DesignerOutfits #EthinicWear #WearWhatYouLove #MeenaBazaar #Aliyana",https://www.instagram.com/p/CFBiMhlJCVT/?utm_source=ig_web_copy_link
2008_1,10-05-2022,7731,39,@crop top @lehanga @partywear lehanga,https://www.instagram.com/p/CdXqv0kvJkT/
2008_2,09-05-2022,10623,62,@saree @crap saree ,https://www.instagram.com/p/CdU_Vx3tpVp/
2022_1,06-07-2022,3565,13,@shirt dress with belt for women @shirt dress,https://www.instagram.com/p/CfqLLkuqvZ6/
2007_1,26-06-2021,673410,3413,@dash and dot - Side The Denim Block Co-ord set,https://www.instagram.com/p/CfRMVSMpFkU/?hl=en
2007_2,19-06-2021,823119,4344,@Striped Muslin Silk Blazer Cord Set,https://www.instagram.com/p/Ce_PGmJMjij/?hl=en
2005_12,22-05-2022,991000,3285,polka dot jump suit,https://www.instagram.com/p/Cd3gI8PLd9F/?utm_source=ig_web_copy_link
2022_2,02-06-2022,11213,42,@crop top @short skirts @skirts,https://www.instagram.com/p/CeTTJ5uKP_b/
2005_13,25-07-2022,87,0,single diamond mangal sutra,https://www.instagram.com/p/CgbGZiqpT5-/?utm_source=ig_web_copy_link
2009_2,09-02-2021,358383,998,@men kurta and pant set jacquard,https://www.instagram.com/p/CLEHVkYjK_3/
2023_1,22-05-2022,2746,49,@kurta sharara set @women kurta @sharara set ,https://www.instagram.com/p/Cd2mWvwNOQg/
2009_3,16-04-2021,330471,986,@Triumph  @pinkTshirtMen,https://www.instagram.com/p/CNuOaPnD_xK/
2009_4,26-07-2021,324808,7091,@Men Slim Fit Military Camouflage Casual Shirt,https://www.instagram.com/p/CRyrnd1DZ-H/
2023_2,12-05-2022,1468,33, #limeGreenShirt Kurta with draped pants & Su in the Medina kurta set with zari and Gota work,https://www.instagram.com/p/Cdcx39ihqBP/
2023_3,07-04-2022,2011,58, #sharara #sharara crop top #mustard yellow sahara with crop_top for women,https://www.instagram.com/p/CcCgnOlhCh0/
2009_5,28-06-2021,291005,6987,@Metal Aviator Glasses - men color:White  @StylishGlasses,https://www.instagram.com/p/CQqH0hcDcfz/
2024_1,29-06-2022,9546,96,"Sherwani 
Suit ",https://www.instagram.com/p/CfY9U7AFc86/
2024_2,28-02-2022,14361,156,"Kurta/Nehru jacket set 
Shawl ",https://www.instagram.com/p/CahX1TthLZm/
2005_14,20-07-2022,933,25, #peplumblouse #beltSaree,https://www.instagram.com/reel/CgOyWvrpMDQ/?utm_source=ig_web_copy_link
2005_15,30-03-2022,682,80,"Women pink Ethnic Jacket Top and Palazzo Set 
#pinksuit #suitstyle ",https://www.instagram.com/p/Cbt-9wJgiE6/?utm_source=ig_web_copy_link
